X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,icon_url
-49.047934,-22.367895,"236","236<BR>CODIGOARTESP=160150004313<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=236<BR>LATITUDE1=-22,3678946520923<BR>LONGITUDE1=-49,0479342356472<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.055542,-22.373672,"237","237<BR>CODIGOARTESP=160150004302<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=237<BR>LATITUDE1=-22,3736723571204<BR>LONGITUDE1=-49,0555415062328<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.062949,-22.379397,"238","238<BR>CODIGOARTESP=160150004291<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=238<BR>LATITUDE1=-22,3793968301022<BR>LONGITUDE1=-49,0629488356889<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.070466,-22.385116,"239","239<BR>CODIGOARTESP=160150004289<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=239<BR>LATITUDE1=-22,3851160278029<BR>LONGITUDE1=-49,0704664739935<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.077823,-22.39081,"240","240<BR>CODIGOARTESP=160150004278<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=240<BR>LATITUDE1=-22,3908095279427<BR>LONGITUDE1=-49,0778230718859<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.085333,-22.396574,"241","241<BR>CODIGOARTESP=160150004267<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=241<BR>LATITUDE1=-22,3965737068233<BR>LONGITUDE1=-49,0853330895146<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.092522,-22.402583,"242","242<BR>CODIGOARTESP=160150004256<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=242<BR>LATITUDE1=-22,4025830071048<BR>LONGITUDE1=-49,0925223286619<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.099703,-22.408779,"243","243<BR>CODIGOARTESP=160150013302<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=243<BR>LATITUDE1=-22,4087790934521<BR>LONGITUDE1=-49,0997030025437<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.106906,-22.414997,"244","244<BR>CODIGOARTESP=160150013291<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=244<BR>LATITUDE1=-22,4149966342377<BR>LONGITUDE1=-49,1069063066714<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
-49.115107,-22.419642,"245","245<BR>CODIGOARTESP=160150013289<BR>RODOVIA=SP-225<BR>SENTIDO=LESTE<BR>KM=245<BR>LATITUDE1=-22,4196421334041<BR>LONGITUDE1=-49,1151074825722<BR>TAB_LINE=0<BR>TAB_SYMBOL=0<BR>",,,,,-1,0,-1,,,./0.png
