X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,icon_url
-49.1450975921943,-22.4397256702519,SAU 1 km 249+000 O,,,,,,-1,0,-1,,,./0.png
-49.3826930686607,-22.6110473907017,SAU 2 km 282+090 L,,,,,,-1,0,-1,,,./0.png
-49.571995785367,-22.8472516636873,SAU 3 km 315+460 L,,,,,,-1,0,-1,,,./0.png
-49.9213954201436,-22.9089958999072,SAU 4 km 385+030 O,,,,,,-1,0,-1,,,./0.png
-50.1665273062729,-22.7598662452235,SAU 5 km 416+000 L,,,,,,-1,0,-1,,,./0.png
-50.4616930498269,-22.6347070771537,SAU 6 km 449+990 O,,,,,,-1,0,-1,,,./0.png
-50.7566455386618,-22.5813991535757,SAU 7 km 481+800 O,,,,,,-1,0,-1,,,./0.png
-50.9836587064306,-22.4490921203122,SAU 8 km 509+270 O,,,,,,-1,0,-1,,,./0.png
-51.2820810030294,-22.2815447624584,SAU 9 km 545+500 O,,,,,,-1,0,-1,,,./0.png
-51.4470895009485,-22.1150575995792,SAU 10 km 571+800 O,,,,,,-1,0,-1,,,./0.png
-51.6885450911488,-21.9716825046239,SAU 11 km 601+400 L,,,,,,-1,0,-1,,,./0.png
-52.0014284094247,-21.8546343116419,SAU 12 km 636+855 O,,,,,,-1,0,-1,,,./0.png
